Club Name,Propublica Number,Tax Year,Total Revenue,Total Functional Expenses,Net Income,Total Assets,Total Liabilities,Net Assets
SPEE CLUB INC,43078945,2014,213727,322721,-108994,45812,189003,-143191
SPEE CLUB INC,43078945,2013,386941,270114,116827,150289,184486,-34197
SPEE CLUB INC,43078945,2012,204391,256814,-52423,53798,204822,-151024
HARVARD LAMPOON TRUST UNDER DECLARATION OF TRUST,42631286,2014,974644,444810,529834,5685417,0,5685417
HARVARD LAMPOON TRUST UNDER DECLARATION OF TRUST,42631286,2013,939036,387401,551635,5354169,0,5354169
HARVARD LAMPOON TRUST UNDER DECLARATION OF TRUST,42631286,2012,1259505,562264,697241,4213661,0,4213661
HARVARD LAMPOON TRUST UNDER DECLARATION OF TRUST,42631286,2011,727070,297340,429730,3174236,0,3174236
HARVARD LAMPOON TRUST UNDER DECLARATION OF TRUST,42631286,2010,440388,289638,150750,2895083,0,2895083
HARVARD LAMPOON TRUST UNDER DECLARATION OF TRUST,42631286,2014,974644,444810,529834,5685417,0,5685417
HARVARD LAMPOON TRUST UNDER DECLARATION OF TRUST,42631286,2013,939036,387401,551635,5354169,0,5354169
HARVARD LAMPOON TRUST UNDER DECLARATION OF TRUST,42631286,2012,1259505,562264,697241,4213661,0,4213661
HARVARD LAMPOON TRUST UNDER DECLARATION OF TRUST,42631286,2011,727070,297340,429730,3174236,0,3174236
HARVARD LAMPOON TRUST UNDER DECLARATION OF TRUST,42631286,2010,440388,289638,150750,2895083,0,2895083
HARVARD-RADCLIFFE GILBERT & SULLIVAN PLAYERS,42645068,2012,42044,41956,88,49612,0,49612
HARVARD-RADCLIFFE GILBERT & SULLIVAN PLAYERS,42645068,2011,35527,42016,-6489,50154,0,50154
HASTY PUDDING CLUB THE INSTITUTE OF 1770,41425590,2014,1673504,1732241,-58737,1639272,0,1639272
HASTY PUDDING CLUB THE INSTITUTE OF 1770,41425590,2013,1983418,802560,1180858,1698009,0,1698009
HASTY PUDDING CLUB THE INSTITUTE OF 1770,41425590,2012,586765,449993,136772,623967,106816,517151
HASTY PUDDING CLUB THE INSTITUTE OF 1770,41425590,2011,494343,393827,100516,487195,106816,380379
HARVARD CRIMSON INC,42426396,2014,353387,447670,-94283,1628592,95830,1532762
HARVARD CRIMSON INC,42426396,2013,500760,429177,71583,1689777,80965,1608812
HARVARD CRIMSON INC,42426396,2012,583714,406813,176901,1673751,95532,1578219
HARVARD CRIMSON INC,42426396,2011,372974,393477,-20503,1447187,80012,1367175
THE HARVARD CRIMSON TRUST II,222780253,2014,310428,70914,239514,5452228,6200,5446028
THE HARVARD CRIMSON TRUST II,222780253,2013,177956,70361,107595,5163569,19819,5143750
THE HARVARD CRIMSON TRUST II,222780253,2012,104197,66725,37472,4495311,12800,4482511
THE HARVARD CRIMSON TRUST II,222780253,2011,90893,67740,23153,4172091,19547,4152544
OWL CLUB,41696700,2013,583611,303643,279968,374508,72204,302304
OWL CLUB,41696700,2012,307650,318424,-10774,312501,290165,22336
OWL CLUB,41696700,2011,356627,354699,1928,345818,312708,33110
OWL CLUB,41696700,2010,396375,343591,52784,362527,331345,31182
OWL CLUB CAPITAL MANAGEMENT INC,204744523,2014,110417,8383,102034,1155481,2000,1153481
OWL CLUB CAPITAL MANAGEMENT INC,204744523,2013,173632,241045,-67413,1053447,2000,1051447
OWL CLUB CAPITAL MANAGEMENT INC,204744523,2012,93263,4431,88832,1120860,2000,1118860
OWL CLUB CAPITAL MANAGEMENT INC,204744523,2011,83728,42585,41143,1034528,4500,1030028
OWL CLUB CAPITAL MANAGEMENT INC,204744523,2010,125664,38231,87433,995285,6400,988885
HARVARD KROKODILOES INC,43573739,2014,175962,164244,11718,483920,0,483920
HARVARD KROKODILOES INC,43573739,2013,229748,190061,39687,472201,0,472201
HARVARD KROKODILOES INC,43573739,2012,201085,139281,61804,432514,0,432514
HARVARD KROKODILOES INC,43573739,2011,272762,227551,45211,370710,0,370710
HARVARD GLEE CLUB INC,42628384,2012,88643,130818,-42175,69964,1500,68464
HARVARD GLEE CLUB INC,42628384,2011,153219,134485,18734,114748,4109,110639
HARVARD MODEL CONGRESS DUBAI,460697343,2015,65475,39983,25492,35521,0,35521
HARVARD MODEL CONGRESS DUBAI,460697343,2014,55950,75035,-19085,10030,0,10030
HARVARD MODEL CONGRESS DUBAI,460697343,2013,92825,63709,29116,29115,0,29115
HARVARD UNIVERSITY BAND INC,43009105,2012,133067,103601,29466,173070,0,173070
HARVARD UNIVERSITY BAND INC,43009105,2011,115933,104834,11099,143604,0,143604
HARVARD YEARBOOK PUBLICATIONS INCORPORATED,46042150,2014,229572,211996,17576,330918,22736,308182
HARVARD YEARBOOK PUBLICATIONS INCORPORATED,46042150,2013,80313,73762,6551,360646,56172,304474
HARVARD YEARBOOK PUBLICATIONS INCORPORATED,46042150,2012,120757,84069,36688,351269,53346,297923
HARVARD YEARBOOK PUBLICATIONS INCORPORATED,46042150,2011,69522,40054,29468,268587,7352,261235
HARVARD DEBATE INCORPORATED QUINCY HOUSE 801,42597463,2014,1649312,1499050,150262,1568719,1093697,475022
HARVARD DEBATE INCORPORATED QUINCY HOUSE 801,42597463,2013,1413121,1351150,61971,1406342,1086946,319396
HARVARD DEBATE INCORPORATED QUINCY HOUSE 801,42597463,2012,1012489,919988,92501,1069947,818261,251686
HARVARD DEBATE INCORPORATED QUINCY HOUSE 801,42597463,2011,825559,777607,47952,577009,415705,161304
HARVARD-RADCLIFFE COLLEGIUM MUSICUM INC,42587675,2012,81844,79216,2628,57534,343,57191
HARVARD-RADCLIFFE COLLEGIUM MUSICUM INC,42587675,2011,183495,188893,-5398,76108,21545,54563
HARVARD COLLEGE ASSOCIATION FORUS-CHINA RELATIONS,204741249,2014,427687,392204,35483,70300,0,70300
HARVARD COLLEGE ASSOCIATION FORUS-CHINA RELATIONS,204741249,2013,410868,404202,6666,36267,0,36267
HARVARD COLLEGE ASSOCIATION FORUS-CHINA RELATIONS,204741249,2012,63945,53961,9984,36017,0,36017
HARVARD COLLEGE ASSOCIATION FORUS-CHINA RELATIONS,204741249,2011,59338,43545,15793,18921,0,18921
