Propublica Number,Club Name,Tax Year,Data Source,PDF URL,Total Revenue,Total Functional Expenses,Net Income,Total Assets,Total Liabilities,Net Assets,Found By,Verified By
461959847,ALPHA PHI INTERNATIONAL FRATERNITY,2014,Auto,,104985,81584,23401,222930,182424,40506,NA,NA
461959847,ALPHA PHI INTERNATIONAL FRATERNITY,2015,Auto,,146193,118765,27428,245168,177234,67934,NA,NA
461959847,ALPHA PHI INTERNATIONAL FRATERNITY,2016,Auto,https://projects.propublica.org/nonprofits/download-filing?path=2016_10_EO%2F46-1959847_990O_201606.pdf,200764,221526,-20762,218912,171740,47172,NA,NA
203522249,BEE CLUB INC,2006,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_05_EO%2F20-3522249_990O_200605.pdf,256586,81375,175211,173956,0,173956,Jeffrey,..
203522249,BEE CLUB INC,2007,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_02_EO%2F20-3522249_990O_200705.pdf,192672,77314,115358,247792,0,247792,Jeffrey,..
203522249,BEE CLUB INC,2008,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2009_01_EO%2F20-3522249_990O_200805.pdf,92119,93201,-1082,252447,0,252447,Jeffrey,..
203522249,BEE CLUB INC,2009,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2010_06_EO%2F20-3522249_990EO_200905.pdf,89923,95898,-5975,246030,0,246030,Jeffrey,..
203522249,BEE CLUB INC,2010,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2011_05_EO%2F20-3522249_990EO_201005.pdf,96342,104226,-7884,238146,0,238146,Jeffrey,..
203522249,BEE CLUB INC,2011,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2012_05_EO%2F20-3522249_990O_201105.pdf,1464414,488733,975681,1215162,0,1215162,Jeffrey,..
203522249,BEE CLUB INC,2012,Auto,https://projects.propublica.org/nonprofits/download-filing?path=2013_04_EO%2F20-3522249_990O_201205.pdf,155672,434487,-278815,939944,0,939944,NA,NA
203522249,BEE CLUB INC,2013,Auto,https://projects.propublica.org/nonprofits/download-filing?path=2014_06_EO%2F20-3522249_990O_201305.pdf,120767,261934,-141167,853740,0,853740,NA,NA
203522249,BEE CLUB INC,2014,Auto,https://projects.propublica.org/nonprofits/download-filing?path=2015_05_EO%2F20-3522249_990O_201405.pdf,143004,450499,-307495,565759,0,565759,NA,NA
203522249,BEE CLUB INC,2015,Auto,,232683,400538,-167855,402892,0,402892,NA,NA
203522249,BEE CLUB INC,2016,Auto,https://projects.propublica.org/nonprofits/download-filing?path=2017_01_EO%2F20-3522249_990O_201605.pdf,291452,401712,-110260,292774,0,292774,NA,NA
136085147,DELPHIC TRUST,2005,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2006_03_EO%2F13-6085147_990O_200507.pdf,145809,194386,-48577,974989,282073,692916,Jeffrey,..
136085147,DELPHIC TRUST,2006,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2007_01_EO%2F13-6085147_990O_200607.pdf,177749,216241,-38492,965726,311345,654381,Jeffrey,..
136085147,DELPHIC TRUST,2007,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_02_EO%2F13-6085147_990O_200707.pdf,95684,170182,-74498,930060,350145,579915,Jeffrey,..
136085147,DELPHIC TRUST,2008,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2009_02_EO%2F13-6085147_990O_200807.pdf,300511,186429,114082,984094,290145,693949,Jeffrey,..
136085147,DELPHIC TRUST,2009,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2010_04_EO%2F13-6085147_990O_200907.pdf,10851,188912,-178061,796052,280145,515907,Jeffrey,..
136085147,DELPHIC TRUST,2010,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2011_02_EO%2F13-6085147_990O_201007.pdf,125575,110851,14724,799777,269145,530632,Jeffrey,..
136085147,DELPHIC TRUST,2011,Auto,https://projects.propublica.org/nonprofits/download-filing?path=2012_07_EO%2F13-6085147_990O_201107.pdf,365309,166557,198752,729383,0,729383,NA,NA
136085147,DELPHIC TRUST,2012,Auto,https://projects.propublica.org/nonprofits/download-filing?path=2013_07_EO%2F13-6085147_990O_201207.pdf,80084,166873,-86789,1058985,416392,642593,NA,NA
136085147,DELPHIC TRUST,2013,Auto,https://projects.propublica.org/nonprofits/download-filing?path=2014_06_EO%2F13-6085147_990O_201307.pdf,52550,123828,-71278,1419731,850000,569731,NA,NA
136085147,DELPHIC TRUST,2014,Auto,https://projects.propublica.org/nonprofits/download-filing?path=2015_07_EO%2F13-6085147_990O_201407.pdf,116021,152363,-36342,1765156,848738,916418,NA,NA
136085147,DELPHIC TRUST,2015,Auto,https://projects.propublica.org/nonprofits/download-filing?path=2016_08_EO%2F13-6085147_990O_201507.pdf,72803,150035,-77232,1737169,848738,888431,NA,NA
760795560,FOX CLUB UNDERGRADUATE ASSOCIATION INC,2006,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_03_EO%2F76-0795560_990O_200607.pdf,122362,128447,-6085,7438,0,7438,Emma,..
760795560,FOX CLUB UNDERGRADUATE ASSOCIATION INC,2007,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_03_EO%2F76-0795560_990O_200707.pdf,113945,120812,-6867,4543,3972,571,Emma,..
760795560,FOX CLUB UNDERGRADUATE ASSOCIATION INC,2008,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2009_01_EO%2F76-0795560_990O_200807.pdf,113755,121086,-7331,1406,8166,-6760,Emma,..
760795560,FOX CLUB UNDERGRADUATE ASSOCIATION INC,2009,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2010_01_EO%2F76-0795560_990O_200907.pdf,101975,98231,3744,5902,8918,-3016,Emma,..
760795560,FOX CLUB UNDERGRADUATE ASSOCIATION INC,2010,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2011_01_EO%2F76-0795560_990O_201007.pdf,100696,101046,-350,14070,17436,-3366,Emma,..
760795560,FOX CLUB UNDERGRADUATE ASSOCIATION INC,2011,Auto,https://projects.propublica.org/nonprofits/download-filing?path=2011_12_EO%2F76-0795560_990O_201107.pdf,115175,129254,-14079,9271,26716,-17445,NA,NA
