Propublica Number,Club Name,Tax Year,Data Source,PDF URL,Total Revenue,Total Functional Expenses,Net Income,Total Assets,Total Liabilities,Net Assets,Found By,Verified By
43078945,SPEE CLUB INC,2011,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2011_10_EO%2F04-3078945_990EO_201106.pdf,NA,NA,NA,NA,NA,NA,,
43078945,SPEE CLUB INC,2010,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2011_01_EO%2F04-3078945_990EO_201006.pdf,NA,NA,NA,NA,NA,NA,,
43078945,SPEE CLUB INC,2009,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2010_08_EO%2F04-3078945_990EO_200912.pdf,NA,NA,NA,NA,NA,NA,,
43078945,SPEE CLUB INC,2008,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2009_06_EO%2F04-3078945_990EO_200812.pdf,NA,NA,NA,NA,NA,NA,,
43078945,SPEE CLUB INC,2007,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_09_EO%2F04-3078945_990O_200712.pdf,NA,NA,NA,NA,NA,NA,,
43078945,SPEE CLUB INC,2006,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2007_08_EO%2F04-3078945_990O_200612.pdf,NA,NA,NA,NA,NA,NA,,
43078945,SPEE CLUB INC,2005,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2006_06_EO%2F04-3078945_990O_200512.pdf,NA,NA,NA,NA,NA,NA,,
43078945,SPEE CLUB INC,2004,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2005_06_EO%2F04-3078945_990O_200412.pdf,NA,NA,NA,NA,NA,NA,,
46002810,HARVARD LAMPOON,2015,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2016_11_T%2F04-6002810_990T_201512.pdf,NA,NA,NA,NA,NA,NA,,
46002810,HARVARD LAMPOON,2009,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2010_12_EO%2F04-6002810_990_200912.pdf,NA,NA,NA,NA,NA,NA,,
46002810,HARVARD LAMPOON,2008,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2009_12_EO%2F04-6002810_990_200812.pdf,NA,NA,NA,NA,NA,NA,,
46002810,HARVARD LAMPOON,2007,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_12_EO%2F04-6002810_990_200712.pdf,NA,NA,NA,NA,NA,NA,,
46002810,HARVARD LAMPOON,2006,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2007_09_EO%2F04-6002810_990_200612.pdf,NA,NA,NA,NA,NA,NA,,
46002810,HARVARD LAMPOON,2005,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2006_11_EO%2F04-6002810_990_200512.pdf,NA,NA,NA,NA,NA,NA,,
46002810,HARVARD LAMPOON,2004,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2005_12_EO%2F04-6002810_990_200412.pdf,NA,NA,NA,NA,NA,NA,,
46002810,HARVARD LAMPOON,2003,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2004_12_EO%2F04-6002810_990_200312.pdf,NA,NA,NA,NA,NA,NA,,
46002810,HARVARD LAMPOON,2002,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2003_10_EO%2F04-6002810_990_200212.pdf,NA,NA,NA,NA,NA,NA,,
46002810,HARVARD LAMPOON,2001,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2002_07_EO%2F04-6002810_990_200112.pdf,NA,NA,NA,NA,NA,NA,,
42631286,HARVARD LAMPOON TRUST UNDER DECLARATION OF TRUST,2009,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2010_12_EO%2F04-2631286_990_200912.pdf,NA,NA,NA,NA,NA,NA,,
42631286,HARVARD LAMPOON TRUST UNDER DECLARATION OF TRUST,2007,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2008_12_EO%2F04-2631286_990_200712.pdf,NA,NA,NA,NA,NA,NA,,
42631286,HARVARD LAMPOON TRUST UNDER DECLARATION OF TRUST,2006,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2007_09_EO%2F04-2631286_990_200612.pdf,NA,NA,NA,NA,NA,NA,,
42631286,HARVARD LAMPOON TRUST UNDER DECLARATION OF TRUST,2005,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2006_11_EO%2F04-2631286_990_200512.pdf,NA,NA,NA,NA,NA,NA,,
42631286,HARVARD LAMPOON TRUST UNDER DECLARATION OF TRUST,2004,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2005_11_EO%2F04-2631286_990_200412.pdf,NA,NA,NA,NA,NA,NA,,
42631286,HARVARD LAMPOON TRUST UNDER DECLARATION OF TRUST,2003,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2004_12_EO%2F04-2631286_990_200312.pdf,NA,NA,NA,NA,NA,NA,,
42631286,HARVARD LAMPOON TRUST UNDER DECLARATION OF TRUST,2002,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2003_10_EO%2F04-2631286_990_200212.pdf,NA,NA,NA,NA,NA,NA,,
42631286,HARVARD LAMPOON TRUST UNDER DECLARATION OF TRUST,2001,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2002_07_EO%2F04-2631286_990_200112.pdf,NA,NA,NA,NA,NA,NA,,
42645068,HARVARD-RADCLIFFE GILBERT & SULLIVAN PLAYERS,2014,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2015_07_EO%2F04-2645068_990EZ_201412.pdf,NA,NA,NA,NA,NA,NA,,
42645068,HARVARD-RADCLIFFE GILBERT & SULLIVAN PLAYERS,2013,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2014_09_EO%2F04-2645068_990EZ_201312.pdf,NA,NA,NA,NA,NA,NA,,
42645068,HARVARD-RADCLIFFE GILBERT & SULLIVAN PLAYERS,2010,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2011_10_EO%2F04-2645068_990EZ_201012.pdf,NA,NA,NA,NA,NA,NA,,
42645068,HARVARD-RADCLIFFE GILBERT & SULLIVAN PLAYERS,2009,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2010_08_EO%2F04-2645068_990EZ_200912.pdf,NA,NA,NA,NA,NA,NA,,
42645068,HARVARD-RADCLIFFE GILBERT & SULLIVAN PLAYERS,2008,Manual,https://projects.propublica.org/nonprofits/download-filing?path=2010_03_EO%2F04-2645068_990EZ_200812.pdf,NA,NA,NA,NA,NA,NA,,
